,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
7745,1610055800,101,중산동1999,0,,POINT (162164.9633999993 544844.0400999918)
7746,1610055900,101,중산동1999,1,,POINT (162276.8823999991 544552.8655999949)
7747,1610056000,101,청원조경,0,,POINT (162326.8858999974 543854.0979999955)
7748,1610056100,103,속성변화점,0,,POINT (162416.095699996 544445.3059999956)
7749,1610056200,101,중산동1933-7,0,,POINT (162457.6255999956 544623.5607999952)
7750,1610056300,101,중산동1938-40,0,,POINT (162475.8685999964 544564.6380000027)
7751,1610056400,101,은하수로3,0,,POINT (162530.2668999951 543739.5609999994)
7752,1610056500,101,중산동1938-40,0,,POINT (162572.0121999981 544314.6757999975)
7753,1610056600,101,중산동1946-23,0,,POINT (162593.3041999926 544608.6911999956)
7754,1610056700,101,중산동1946-23,0,,POINT (162678.9331999938 544354.4837000017)
7755,1610056800,102,해이든영종호텔,0,,POINT (162738.6133999977 543655.0430000018)
7756,1610056900,101,해이든영종호텔,0,,POINT (162746.9523999981 543706.9927000001)
7757,1610057000,101,중산동1945,0,,POINT (162776.5811999972 543880.4684999967)
7758,1610057100,101,은하수로1,0,,POINT (162888.2401999974 543687.5457999948)
7759,1610057200,102,영종도선착장,0,,POINT (162958.0903999957 543619.6799999997)
7760,1610057300,101,영종도선착장,0,,POINT (162966.4247999926 543675.6394999997)
7761,1610057400,102,은하수로2,0,,POINT (162994.9865999973 543851.9945999965)
7762,1610057500,102,은하수로시점,0,,POINT (163049.7686999961 543665.3206999979)
7763,1610060700,101,운북동1368-3,1,,POINT (156498.7313999986 547469.5278999921)
7764,1610068900,101,운서동2851-1,0,,POINT (151639.0859999948 537952.8873999906)
7765,1610069000,104,삼목선착장지하차도북측,0,,POINT (151708.0479999897 544498.0220000051)
7766,1610069100,104,삼목선착장지하차도남측,0,,POINT (151735.9876999937 544156.6689999972)
7767,1610069200,106,운서동2851-56,0,,POINT (152745.3657999934 538227.1967999989)
7768,1610069300,104,IBC지하차도서측,0,,POINT (152894.7220999922 538153.9934000006)
7769,1610069400,104,IBC지하차도동측,0,,POINT (152985.5775999951 538217.9126999996)
7770,1610069500,101,운서동2847-1,0,,POINT (153733.530599996 538734.3746999926)
7771,1610069600,106,운서교차로,0,,POINT (153765.1565999984 544454.1079999906)
7772,1610069700,106,운북IC동측,1,,POINT (155498.8065999978 545410.8265000012)
7773,1610069800,102,검역탐지견센터,0,,POINT (155828.0460999983 546994.3160000041)
7774,1610069900,102,예단포1로6,0,,POINT (155833.298999994 547776.6026999952)
7775,1610070000,101,운북동1355-7,0,,POINT (155920.2147999992 547827.7995999949)
7776,1610070100,101,운북동933-78,1,,POINT (155930.6942999951 546979.5179999952)
7777,1610070200,101,운북동1354-17,0,,POINT (155942.4398999968 547794.8588999941)
7778,1610070300,101,운북동1357-19,0,,POINT (155977.3648999933 547813.9089999906)
