,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
149825,1610165000,1610061700,1610061500,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,53.68173065752,,"LINESTRING (157003.9815000003 547590.8643999986, 156989.4342999972 547583.3262999945, 156956.2711999929 547566.2198999949)"
149826,1610165100,1610060900,1610062700,2,104,000,-,자연대로,0,0,000,60,0,0,0,903.237972299246,,"LINESTRING (156713.0036999954 547242.4375000005, 156802.295899995 547152.3429999965, 156842.2602999946 547112.1670999967, 156864.039499998 547089.3306999959, 156894.8657999931 547057.6597999936, 156920.8807999941 547028.288099996, 156946.6754999971 546994.7341000019, 156988.6647999956 546932.4883999965, 157024.8126999951 546876.8926999988, 157069.0615999993 546807.0259000036, 157108.4523999998 546747.3044999957, 157149.5018999942 546684.2489999927, 157187.6471999969 546625.3358000038, 157217.4349999948 546582.2384999943, 157245.6909999986 546535.2155000007, 157253.0330999934 546522.8345999989)"
149827,1610165200,1610061600,1610061700,1,104,000,-,미단뉴타운로26번길,0,0,000,30,0,0,0,98.910258490405,,"LINESTRING (156969.068499998 547675.4837000009, 156970.0669000009 547664.7233999973, 156974.354699999 547648.4517999988, 156977.9186999942 547637.0035999941, 156980.7486999927 547628.9491999974, 156985.4701999955 547617.1453999938, 156992.8805999972 547599.4247999977, 157001.4868999941 547582.6414999989)"
149828,1610165300,1610061500,1610061700,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,54.356922330439,,"LINESTRING (156961.7723999998 547555.5551999965, 156994.9453999987 547572.666700001, 157010.0712999992 547580.531799991)"
149829,1610165400,1610062700,1610060900,2,104,000,-,자연대로,0,0,000,60,0,0,0,906.185843552377,,"LINESTRING (157263.3547000001 546528.9554999975, 157255.9947000006 546541.3663999917, 157227.5238999953 546588.746899997, 157197.6215999956 546632.0097999946, 157159.5666999967 546690.7834999971, 157118.4894000002 546753.881600006, 157079.1399999931 546813.5403999971, 157034.9121999971 546883.3738999972, 156998.669799998 546939.1149999958, 156956.415699997 547001.7529999992, 156930.1402999972 547035.9323999929, 156903.6617999976 547065.8274999927, 156872.6812999992 547097.6567999963, 156850.8570999951 547120.5403999989, 156810.811299994 547160.7979999908, 156721.5267999997 547250.8847999917)"
149830,1610165500,1610061500,1610061800,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,140.316207347123,,"LINESTRING (156953.7096999963 547558.098099997, 156963.1506999955 547540.1189999995, 156968.5568999949 547531.1988999981, 156973.623899997 547523.0649999924, 156980.353699996 547512.5663999976, 156991.7180999953 547496.9236999948, 157000.1908999968 547485.4920999914, 157013.3952999934 547469.9972000009, 157024.5885999959 547458.2441999967, 157039.2602999948 547448.8550999931)"
149831,1610165600,1610061700,1610061600,1,104,000,-,미단뉴타운로26번길,0,0,000,30,0,0,0,93.973580666018,,"LINESTRING (157011.9969999937 547588.43269999, 157003.7717999971 547604.4842999986, 156996.5771999946 547621.6888000036, 156991.9853999996 547633.1683999973, 156989.3119999986 547640.7773000011, 156985.890999996 547651.7657999961, 156981.9237999996 547666.8208999909, 156981.0171999934 547676.5923999994)"
149832,1610165700,1610061300,1610062100,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,197.715641243658,,"LINESTRING (156909.0973999951 547740.0212999994, 156925.3992999941 547737.9577000006, 156947.050999999 547734.0446999999, 156965.3962999957 547729.7510999935, 156980.1290999952 547725.4486999916, 156994.2056999946 547721.0171000033, 157009.1283999982 547715.4372999956, 157026.6084999964 547707.8712999976, 157039.6153999931 547701.627999998, 157058.6723999985 547691.4468999995, 157071.5194999942 547683.6606999952, 157083.9895999953 547675.3472999964, 157091.5277999933 547669.7702999968)"
149833,1610165800,1610062100,1610061300,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,204.53722819933,,"LINESTRING (157098.6648999981 547679.4170999979, 157090.8904999931 547685.1689999971, 157077.960499994 547693.7888999928, 157064.6138999984 547701.8777999959, 157045.0415999963 547712.3341999995, 157031.5900999969 547718.7909999971, 157013.6159999961 547726.5708000007, 156998.1114999948 547732.3680999953, 156983.6130999992 547736.9323999962, 156968.4478999967 547741.3611999955, 156949.4868999945 547745.7988999919, 156927.217599995 547749.823499996, 156909.9173999954 547751.9931999927)"
149834,1610165900,1610061800,1610061500,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,133.193460005695,,"LINESTRING (157044.956299997 547459.4157999938, 157032.2870999946 547467.5607999947, 157022.3136999989 547478.0327999943, 157009.588799999 547492.9650999934, 157001.392899998 547504.0230999942, 156990.2676000006 547519.3366999968, 156983.7682999969 547529.4756999969, 156978.7810999972 547537.481400001, 156973.6038999927 547546.0237999912, 156964.333899998 547563.6769999977)"
