,Unnamed: 0,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,latitude,longitude
319,157905,1610016100,101,용유IC북측,0,,37.49767515433721,126.43824702486378
320,157906,1610016400,106,운서IC남측,1,,37.49611918483663,126.47755624323811
321,157907,1610016500,103,속성변화점,0,,37.49808077710706,126.48513151099347
322,157908,1610016501,101,운서동2814,0,,37.4992608151842,126.48518233174812
323,157909,1610016502,101,운서동2814,0,,37.50058109453098,126.48685642272369
324,157910,1610016600,103,속성변화점,0,,37.498570277183575,126.55355163641266
325,157911,1610016700,106,운서IC서측,1,,37.498203553135944,126.47006103051707
326,157912,1610016800,104,삼목교,0,,37.49838368278522,126.47254079262653
327,157913,1610016900,101,가정식당,0,,37.49914646376126,126.49066760513718
328,157914,1610017000,103,속성변화점,0,,37.50024249540717,126.49004579288423
329,157915,1610017001,101,운서동2814,0,,37.500504464652025,126.48910264310183
330,157916,1610017100,103,속성변화점,0,,37.500572338508945,126.48717113665803
331,157917,1610017200,106,운북IC북측,0,,37.5092765023319,126.49508891151741
332,157918,1610017300,102,인천소방항공대,0,,37.52102480788785,126.49914963669958
333,157919,1610017500,101,운남동1494-3,0,,37.46568497798999,126.50590771713118
334,157920,1610017600,106,영종IC,0,,37.46977378771579,126.50629275222282
335,157921,1610017700,104,인천대교TG,0,,37.47006570534797,126.5128999092151
336,157922,1610017800,106,운남동1113-31,1,,37.470490993922986,126.51078663360295
337,157923,1610017900,106,영종IC,0,,37.47202520799564,126.50497020899309
338,157924,1610018000,106,영종IC동측,0,,37.47216220450336,126.51077201432284
339,157925,1610018100,106,영종IC서측,0,,37.47760724356768,126.50206329701119
340,157926,1610018200,106,공항신도시JC도윽,1,,37.48225971739678,126.49411009683165
341,157927,1610018300,103,속성변화점,0,,37.48517387473041,126.48910601293395
342,157928,1610018600,101,인천수협용유지점,0,,37.425684132772105,126.4222077323854
343,157929,1610019100,101,내트럭하우스인천사업소,0,,37.43232387115648,126.62324880940766
344,157930,1610019200,101,속성변화점,1,,37.43235310370003,126.61437977459511
345,157931,1610019300,101,신흥동3가39-29,1,,37.434459274433465,126.62455667799857
346,157932,1610019400,101,남항교차로,1,,37.437507379253425,126.61708660607252
347,157933,1610019500,103,속성변화점,0,,37.43981119510779,126.37920393105904
348,157934,1610019600,101,덕교삼거리,0,,37.44000310620889,126.40458134441307
349,157935,1610019700,101,외딴섬조개구이,0,,37.44059327303843,126.38766068003733
